y,flux,mb_flux
0.031250,0.000135,0.000976
0.093750,0.002861,0.008712
0.156250,0.012597,0.023825
0.218750,0.031615,0.045616
0.281250,0.063666,0.073086
0.343750,0.105031,0.104995
0.406250,0.158563,0.139930
0.468750,0.222646,0.176383
0.531250,0.297780,0.212828
0.593750,0.374655,0.247800
0.656250,0.457453,0.279965
0.718750,0.544667,0.308176
0.781250,0.626105,0.331518
0.843750,0.702672,0.349339
0.906250,0.777194,0.361256
0.968750,0.848948,0.367154
1.031250,0.909083,0.367169
1.093750,0.960156,0.361655
1.156250,1.000000,0.351147
1.218750,1.035159,0.336317
1.281250,1.061151,0.317928
1.343750,1.072239,0.296788
1.406250,1.081861,0.273710
1.468750,1.081859,0.249473
1.531250,1.081265,0.224797
1.593750,1.068677,0.200316
1.656250,1.057354,0.176567
1.718750,1.039049,0.153984
1.781250,1.018086,0.132892
1.843750,1.002643,0.113516
1.906250,0.983585,0.095990
1.968750,0.961347,0.080365
2.031250,0.940007,0.066625
2.093750,0.922884,0.054701
2.156250,0.902984,0.044482
2.218750,0.881488,0.035830
2.281250,0.864561,0.028591
2.343750,0.845860,0.022603
2.406250,0.827137,0.017705
2.468750,0.810860,0.013742
2.531250,0.799245,0.010569
2.593750,0.783426,0.008056
2.656250,0.773657,0.006086
2.718750,0.754176,0.004556
2.781250,0.745108,0.003381
2.843750,0.730150,0.002487
2.906250,0.715969,0.001813
2.968750,0.709160,0.001311
3.031250,0.696486,0.000939
3.093750,0.687010,0.000667
3.156250,0.673129,0.000470
3.218750,0.665057,0.000328
3.281250,0.659394,0.000227
3.343750,0.649068,0.000156
3.406250,0.638147,0.000106
3.468750,0.629019,0.000072
3.531250,0.621321,0.000048
3.593750,0.615157,0.000032
3.656250,0.606021,0.000021
3.718750,0.597503,0.000014
3.781250,0.588766,0.000009
3.843750,0.579649,0.000006
3.906250,0.569055,0.000004
3.968750,0.567315,0.000002
4.031250,0.560499,0.000001
4.093750,0.554314,0.000001
4.156250,0.548216,0.000001
4.218750,0.542673,0.000000
4.281250,0.534223,0.000000
4.343750,0.529453,0.000000
4.406250,0.523865,0.000000
4.468750,0.515714,0.000000
4.531250,0.512153,0.000000
4.593750,0.504122,0.000000
4.656250,0.499596,0.000000
4.718750,0.494358,0.000000
4.781250,0.489386,0.000000
4.843750,0.484717,0.000000
4.906250,0.482066,0.000000
4.968750,0.475035,0.000000
5.031250,0.471313,0.000000
5.093750,0.464331,0.000000
5.156250,0.460174,0.000000
5.218750,0.456786,0.000000
5.281250,0.453021,0.000000
5.343750,0.449192,0.000000
5.406250,0.443020,0.000000
5.468750,0.440530,0.000000
5.531250,0.436613,0.000000
5.593750,0.430982,0.000000
5.656250,0.426338,0.000000
5.718750,0.425786,0.000000
5.781250,0.420917,0.000000
5.843750,0.417295,0.000000
5.906250,0.412722,0.000000
5.968750,0.409826,0.000000
6.031250,0.407105,0.000000
6.093750,0.404142,0.000000
6.156250,0.397541,0.000000
6.218750,0.395530,0.000000
6.281250,0.393672,0.000000
6.343750,0.388223,0.000000
6.406250,0.385702,0.000000
6.468750,0.384290,0.000000
6.531250,0.378211,0.000000
6.593750,0.378265,0.000000
6.656250,0.373882,0.000000
6.718750,0.371916,0.000000
6.781250,0.367373,0.000000
6.843750,0.364413,0.000000
6.906250,0.360616,0.000000
6.968750,0.359850,0.000000
7.031250,0.356740,0.000000
7.093750,0.354479,0.000000
7.156250,0.352696,0.000000
7.218750,0.349972,0.000000
7.281250,0.344780,0.000000
7.343750,0.342432,0.000000
7.406250,0.342642,0.000000
7.468750,0.338847,0.000000
7.531250,0.337436,0.000000
7.593750,0.332661,0.000000
7.656250,0.330946,0.000000
7.718750,0.330372,0.000000
7.781250,0.326253,0.000000
7.843750,0.323708,0.000000
7.906250,0.320009,0.000000
7.968750,0.317584,0.000000
8.031250,0.316906,0.000000
8.093750,0.313750,0.000000
8.156250,0.311048,0.000000
8.218750,0.314091,0.000000
8.281250,0.312102,0.000000
8.343750,0.312167,0.000000
8.406250,0.315267,0.000000
8.468750,0.314945,0.000000
8.531250,0.316321,0.000000
8.593750,0.313125,0.000000
8.656250,0.312726,0.000000
8.718750,0.309973,0.000000
8.781250,0.306323,0.000000
8.843750,0.299859,0.000000
8.906250,0.291393,0.000000
8.968750,0.285309,0.000000
9.031250,0.276566,0.000000
9.093750,0.266543,0.000000
9.156250,0.255169,0.000000
9.218750,0.247613,0.000000
9.281250,0.239131,0.000000
9.343750,0.228760,0.000000
9.406250,0.219740,0.000000
9.468750,0.211594,0.000000
9.531250,0.202314,0.000000
9.593750,0.194564,0.000000
9.656250,0.187395,0.000000
9.718750,0.178828,0.000000
9.781250,0.173679,0.000000
9.843750,0.166686,0.000000
9.906250,0.160440,0.000000
9.968750,0.153264,0.000000
10.031250,3.372499,0.000000
10.093750,0.012376,0.000000
10.156250,0.001864,0.000000
10.218750,0.000280,0.000000
10.281250,0.000070,0.000000
10.343750,0.000027,0.000000
