y,flux,mb_flux
0.031250,0.000123,0.000976
0.093750,0.002766,0.008712
0.156250,0.011992,0.023825
0.218750,0.031429,0.045616
0.281250,0.064665,0.073086
0.343750,0.111346,0.104995
0.406250,0.173464,0.139930
0.468750,0.250800,0.176383
0.531250,0.335591,0.212828
0.593750,0.430828,0.247800
0.656250,0.522418,0.279965
0.718750,0.616872,0.308176
0.781250,0.709773,0.331518
0.843750,0.788282,0.349339
0.906250,0.858587,0.361256
0.968750,0.915929,0.367154
1.031250,0.955296,0.367169
1.093750,0.985485,0.361655
1.156250,1.000000,0.351147
1.218750,1.004368,0.336317
1.281250,0.991316,0.317928
1.343750,0.972418,0.296788
1.406250,0.938354,0.273710
1.468750,0.891019,0.249473
1.531250,0.848375,0.224797
1.593750,0.801248,0.200316
1.656250,0.752627,0.176567
1.718750,0.700471,0.153984
1.781250,0.660660,0.132892
1.843750,0.617065,0.113516
1.906250,0.575913,0.095990
1.968750,0.543402,0.080365
2.031250,0.507422,0.066625
2.093750,0.475830,0.054701
2.156250,0.455927,0.044482
2.218750,0.435620,0.035830
2.281250,0.417265,0.028591
2.343750,0.400903,0.022603
2.406250,0.383814,0.017705
2.468750,0.373179,0.013742
2.531250,0.360536,0.010569
2.593750,0.349561,0.008056
2.656250,0.340365,0.006086
2.718750,0.333686,0.004556
2.781250,0.324771,0.003381
2.843750,0.318607,0.002487
2.906250,0.316082,0.001813
2.968750,0.305528,0.001311
3.031250,0.300960,0.000939
3.093750,0.296266,0.000667
3.156250,0.288471,0.000470
3.218750,0.282652,0.000328
3.281250,0.278357,0.000227
3.343750,0.275960,0.000156
3.406250,0.271587,0.000106
3.468750,0.263257,0.000072
3.531250,0.264674,0.000048
3.593750,0.258282,0.000032
3.656250,0.254569,0.000021
3.718750,0.253657,0.000014
3.781250,0.249384,0.000009
3.843750,0.242211,0.000006
3.906250,0.243034,0.000004
3.968750,0.237437,0.000002
4.031250,0.234990,0.000001
4.093750,0.231578,0.000001
4.156250,0.225890,0.000001
4.218750,0.225954,0.000000
4.281250,0.221557,0.000000
4.343750,0.221714,0.000000
4.406250,0.217043,0.000000
4.468750,0.214013,0.000000
4.531250,0.213949,0.000000
4.593750,0.207915,0.000000
4.656250,0.207930,0.000000
4.718750,0.204796,0.000000
4.781250,0.203550,0.000000
4.843750,0.199320,0.000000
4.906250,0.197274,0.000000
4.968750,0.196505,0.000000
5.031250,0.192812,0.000000
5.093750,0.192161,0.000000
5.156250,0.191498,0.000000
5.218750,0.187830,0.000000
5.281250,0.189568,0.000000
5.343750,0.184485,0.000000
5.406250,0.183588,0.000000
5.468750,0.182101,0.000000
5.531250,0.180799,0.000000
5.593750,0.175657,0.000000
5.656250,0.177438,0.000000
5.718750,0.171621,0.000000
5.781250,0.170908,0.000000
5.843750,0.170310,0.000000
5.906250,0.169942,0.000000
5.968750,0.166580,0.000000
6.031250,0.166576,0.000000
6.093750,0.165784,0.000000
6.156250,0.163150,0.000000
6.218750,0.161336,0.000000
6.281250,0.160818,0.000000
6.343750,0.158411,0.000000
6.406250,0.158705,0.000000
6.468750,0.156107,0.000000
6.531250,0.155290,0.000000
6.593750,0.152340,0.000000
6.656250,0.152908,0.000000
6.718750,0.148569,0.000000
6.781250,0.148052,0.000000
6.843750,0.149092,0.000000
6.906250,0.146504,0.000000
6.968750,0.148054,0.000000
7.031250,0.144928,0.000000
7.093750,0.143385,0.000000
7.156250,0.141009,0.000000
7.218750,0.140308,0.000000
7.281250,0.140484,0.000000
7.343750,0.139361,0.000000
7.406250,0.139958,0.000000
7.468750,0.138089,0.000000
7.531250,0.137914,0.000000
7.593750,0.136995,0.000000
7.656250,0.135151,0.000000
7.718750,0.133908,0.000000
7.781250,0.132377,0.000000
7.843750,0.130235,0.000000
7.906250,0.131278,0.000000
7.968750,0.130230,0.000000
8.031250,0.129936,0.000000
8.093750,0.126859,0.000000
8.156250,0.126420,0.000000
8.218750,0.126340,0.000000
8.281250,0.125945,0.000000
8.343750,0.125227,0.000000
8.406250,0.124123,0.000000
8.468750,0.123548,0.000000
8.531250,0.122586,0.000000
8.593750,0.122487,0.000000
8.656250,0.121372,0.000000
8.718750,0.118353,0.000000
8.781250,0.117741,0.000000
8.843750,0.117488,0.000000
8.906250,0.117575,0.000000
8.968750,0.117474,0.000000
9.031250,0.116493,0.000000
9.093750,0.114820,0.000000
9.156250,0.115032,0.000000
9.218750,0.116350,0.000000
9.281250,0.113284,0.000000
9.343750,0.112292,0.000000
9.406250,0.111723,0.000000
9.468750,0.110084,0.000000
9.531250,0.109451,0.000000
9.593750,0.109798,0.000000
9.656250,0.108302,0.000000
9.718750,0.108145,0.000000
9.781250,0.109435,0.000000
9.843750,0.106626,0.000000
9.906250,0.105804,0.000000
9.968750,0.106662,0.000000
10.031250,8.728703,0.000000
10.093750,0.008909,0.000000
10.156250,0.001403,0.000000
10.218750,0.000171,0.000000
10.281250,0.000018,0.000000
