y,flux,mb_flux
0.031250,0.000144,0.000976
0.093750,0.003123,0.008712
0.156250,0.013959,0.023825
0.218750,0.036637,0.045616
0.281250,0.075270,0.073086
0.343750,0.130589,0.104995
0.406250,0.201496,0.139930
0.468750,0.287773,0.176383
0.531250,0.385031,0.212828
0.593750,0.485949,0.247800
0.656250,0.590092,0.279965
0.718750,0.682619,0.308176
0.781250,0.770310,0.331518
0.843750,0.849533,0.349339
0.906250,0.911674,0.361256
0.968750,0.956174,0.367154
1.031250,0.987100,0.367169
1.093750,1.000000,0.361655
1.156250,0.998418,0.351147
1.218750,0.979767,0.336317
1.281250,0.948103,0.317928
1.343750,0.899875,0.296788
1.406250,0.844969,0.273710
1.468750,0.789926,0.249473
1.531250,0.723077,0.224797
1.593750,0.661719,0.200316
1.656250,0.601125,0.176567
1.718750,0.539852,0.153984
1.781250,0.484172,0.132892
1.843750,0.436703,0.113516
1.906250,0.392811,0.095990
1.968750,0.354925,0.080365
2.031250,0.321530,0.066625
2.093750,0.293169,0.054701
2.156250,0.271410,0.044482
2.218750,0.249428,0.035830
2.281250,0.233244,0.028591
2.343750,0.219847,0.022603
2.406250,0.209642,0.017705
2.468750,0.199022,0.013742
2.531250,0.190111,0.010569
2.593750,0.182084,0.008056
2.656250,0.176619,0.006086
2.718750,0.171838,0.004556
2.781250,0.166367,0.003381
2.843750,0.160800,0.002487
2.906250,0.158172,0.001813
2.968750,0.152744,0.001311
3.031250,0.150443,0.000939
3.093750,0.147764,0.000667
3.156250,0.143169,0.000470
3.218750,0.140708,0.000328
3.281250,0.138429,0.000227
3.343750,0.133783,0.000156
3.406250,0.132127,0.000106
3.468750,0.131276,0.000072
3.531250,0.127623,0.000048
3.593750,0.124668,0.000032
3.656250,0.122971,0.000021
3.718750,0.122773,0.000014
3.781250,0.118753,0.000009
3.843750,0.116501,0.000006
3.906250,0.116375,0.000004
3.968750,0.113853,0.000002
4.031250,0.111517,0.000001
4.093750,0.111289,0.000001
4.156250,0.107697,0.000001
4.218750,0.106977,0.000000
4.281250,0.105120,0.000000
4.343750,0.104127,0.000000
4.406250,0.103609,0.000000
4.468750,0.100811,0.000000
4.531250,0.099595,0.000000
4.593750,0.098974,0.000000
4.656250,0.098194,0.000000
4.718750,0.096366,0.000000
4.781250,0.095022,0.000000
4.843750,0.094125,0.000000
4.906250,0.092065,0.000000
4.968750,0.092325,0.000000
5.031250,0.091099,0.000000
5.093750,0.089702,0.000000
5.156250,0.087660,0.000000
5.218750,0.086825,0.000000
5.281250,0.085995,0.000000
5.343750,0.085340,0.000000
5.406250,0.085214,0.000000
5.468750,0.083678,0.000000
5.531250,0.082039,0.000000
5.593750,0.080569,0.000000
5.656250,0.080855,0.000000
5.718750,0.079536,0.000000
5.781250,0.079171,0.000000
5.843750,0.078848,0.000000
5.906250,0.077492,0.000000
5.968750,0.076234,0.000000
6.031250,0.075641,0.000000
6.093750,0.074423,0.000000
6.156250,0.074027,0.000000
6.218750,0.074484,0.000000
6.281250,0.073000,0.000000
6.343750,0.073035,0.000000
6.406250,0.071305,0.000000
6.468750,0.070068,0.000000
6.531250,0.070917,0.000000
6.593750,0.069794,0.000000
6.656250,0.069207,0.000000
6.718750,0.068484,0.000000
6.781250,0.067900,0.000000
6.843750,0.068280,0.000000
6.906250,0.067316,0.000000
6.968750,0.066998,0.000000
7.031250,0.065738,0.000000
7.093750,0.064584,0.000000
7.156250,0.064215,0.000000
7.218750,0.063881,0.000000
7.281250,0.063386,0.000000
7.343750,0.063201,0.000000
7.406250,0.062724,0.000000
7.468750,0.061618,0.000000
7.531250,0.061781,0.000000
7.593750,0.060744,0.000000
7.656250,0.059510,0.000000
7.718750,0.059876,0.000000
7.781250,0.059003,0.000000
7.843750,0.059019,0.000000
7.906250,0.057404,0.000000
7.968750,0.058799,0.000000
8.031250,0.058089,0.000000
8.093750,0.057211,0.000000
8.156250,0.057469,0.000000
8.218750,0.056536,0.000000
8.281250,0.057289,0.000000
8.343750,0.055227,0.000000
8.406250,0.055711,0.000000
8.468750,0.054951,0.000000
8.531250,0.053856,0.000000
8.593750,0.054674,0.000000
8.656250,0.054028,0.000000
8.718750,0.053048,0.000000
8.781250,0.053174,0.000000
8.843750,0.053431,0.000000
8.906250,0.052604,0.000000
8.968750,0.052384,0.000000
9.031250,0.051707,0.000000
9.093750,0.051602,0.000000
9.156250,0.051159,0.000000
9.218750,0.050139,0.000000
9.281250,0.050161,0.000000
9.343750,0.050275,0.000000
9.406250,0.049324,0.000000
9.468750,0.049223,0.000000
9.531250,0.049114,0.000000
9.593750,0.048501,0.000000
9.656250,0.048488,0.000000
9.718750,0.047871,0.000000
9.781250,0.047889,0.000000
9.843750,0.047629,0.000000
9.906250,0.047158,0.000000
9.968750,0.047964,0.000000
10.031250,3.800860,0.000000
10.093750,0.003681,0.000000
10.156250,0.000642,0.000000
10.218750,0.000062,0.000000
10.281250,0.000023,0.000000
